,timePeriod,count
0,202004280000,3858
1,202004290000,3760
2,202004300000,3511
3,202005010000,3537
4,202005020000,1470
5,202005030000,1150
6,202005040000,2637
7,202005050000,3160
8,202005060000,3275
9,202005070000,3086
10,202005080000,3091
11,202005090000,1192
12,202005100000,886
13,202005110000,2680
14,202005120000,4259
15,202005130000,4583
16,202005140000,3391
17,202005150000,3261
18,202005160000,1421
19,202005170000,1095
20,202005180000,2770
21,202005190000,3123
22,202005200000,3133
23,202005210000,4293
24,202005220000,4190
25,202005230000,1438
26,202005240000,1746
27,202005250000,1131
28,202005260000,2497
