,timePeriod,count
0,202004020000,4419
1,202004030000,4117
2,202004040000,1414
3,202004050000,1044
4,202004060000,3455
5,202004070000,3669
6,202004080000,3799
7,202004090000,3463
8,202004100000,3042
9,202004110000,1216
10,202004120000,822
11,202004130000,2891
12,202004140000,3102
13,202004150000,3061
14,202004160000,3113
15,202004170000,3470
16,202004180000,1203
17,202004190000,862
18,202004200000,2680
19,202004210000,2619
20,202004220000,2842
21,202004230000,3001
22,202004240000,2669
23,202004250000,982
24,202004260000,815
25,202004270000,2405
26,202004280000,2579
27,202004290000,2489
28,202004300000,2408
29,202005010000,2204
30,202005020000,820
31,202003020000,185
32,202003030000,405
33,202003040000,468
34,202003050000,887
35,202003060000,1155
36,202003070000,596
37,202003080000,388
38,202003090000,1283
39,202003100000,2054
40,202003110000,3306
41,202003120000,5205
42,202003130000,6462
43,202003140000,2743
44,202003150000,2276
45,202003160000,8286
46,202003170000,8402
47,202003180000,8631
48,202003190000,8070
49,202003200000,7257
50,202003210000,2470
51,202003220000,1771
52,202003230000,6091
53,202003240000,6147
54,202003250000,6450
55,202003260000,6112
56,202003270000,5551
57,202003280000,1786
58,202003290000,1374
59,202003300000,4611
60,202003310000,4718
61,202004010000,4773
62,202001310000,96
63,202002010000,27
64,202002020000,16
65,202002030000,55
66,202002040000,84
67,202002050000,92
68,202002060000,97
69,202002070000,90
70,202002080000,24
71,202002090000,22
72,202002100000,50
73,202002110000,58
74,202002120000,96
75,202002130000,97
76,202002140000,91
77,202002150000,18
78,202002160000,26
79,202002170000,47
80,202002180000,72
81,202002190000,76
82,202002200000,72
83,202002210000,86
84,202002220000,13
85,202002230000,27
86,202002240000,60
87,202002250000,90
88,202002260000,116
89,202002270000,126
90,202002280000,151
91,202002290000,63
92,202003010000,58
93,202001010000,17
94,202001020000,84
95,202001030000,128
96,202001040000,29
97,202001050000,11
98,202001060000,53
99,202001070000,75
100,202001080000,62
101,202001090000,88
102,202001100000,82
103,202001110000,21
104,202001120000,45
105,202001130000,116
106,202001140000,100
107,202001150000,82
108,202001160000,65
109,202001170000,80
110,202001180000,21
111,202001190000,22
112,202001200000,35
113,202001210000,82
114,202001220000,82
115,202001230000,84
116,202001240000,83
117,202001250000,21
118,202001260000,23
119,202001270000,55
120,202001280000,69
121,202001290000,70
122,202001300000,77
